Date,Nifty index(Adjust close),NFP TCH Index,RSAOREST Index,GVLQUSD Index,USYC2Y10 Index,USGG10YR Index,WTEMINTR Index,TACKINIP Index
3/31/2014,6696.399902,261,22.32,1.169,229.586,2.718,154.98,44.69
4/30/2014,7229.950195,311,20.786,1.04,223.159,2.6459,155.17,44.69
5/31/2014,7611.350098,252,22.397,1.121,209.891,2.4759,177.45,44.69
6/30/2014,7721.299805,306,20.74,1.378,206.975,2.5304,185.27,46.99
7/31/2014,7954.350098,196,21.091,1.732,202.634,2.5578,182.79,46.99
8/31/2014,7964.799805,226,21.907,1.294,185.096,2.3431,187.6,46.99
9/30/2014,8322.200195,284,19.917,1.512,191.791,2.4888,182.86,51.29
10/31/2014,8588.25,255,21.302,1.453,183.992,2.3353,191.9,51.29
11/30/2014,8282.700195,307,20.801,1.423,168.985,2.164,194.75,51.29
12/31/2014,8808.900391,251,22.985,2.015,150.276,2.1712,185.17,48.38
1/31/2015,8844.599609,211,21.846,2,118.883,1.6407,197.08,48.38
2/28/2015,8491,267,21.053,1.754,137.064,1.993,199.02,48.38
3/31/2015,8181.5,78,23.829,1.858,136.405,1.9231,188.54,46.61
4/30/2015,8433.650391,282,22.641,1.705,146.077,2.0317,179.51,49.81
5/31/2015,8368.5,326,24.432,1.57,151.221,2.1214,183.23,52.83
6/30/2015,8532.849609,191,22.607,1.672,170.639,2.3531,182.26,47.75
7/31/2015,7948.950195,256,22.959,1.575,151.554,2.1801,185.46,54.14
8/31/2015,7948.899902,164,23.05,2.107,147.846,2.2179,166.15,52.93
9/30/2015,8065.799805,88,21.322,1.834,140.387,2.0368,167.73,51.08
10/31/2015,7935.25,351,23.059,2.006,141.401,2.1421,172.67,50.51
11/30/2015,7946.350098,264,21.733,2.017,127.167,2.206,168.25,44.63
12/31/2015,7563.549805,234,24.583,2.241,121.769,2.2694,170.79,46.89
1/31/2016,6987.049805,103,22.659,1.629,114.325,1.9209,157.46,44.92
2/29/2016,7738.399902,257,23.18,2.076,95.71,1.7347,143.18,49.6
3/31/2016,7849.799805,235,24.641,1.941,104.364,1.7687,165.61,47.43
4/30/2016,8160.100098,174,24.588,1.7,104.768,1.8333,167.38,46.57
5/31/2016,8287.75,34,24.651,1.681,96.491,1.8458,169.26,50
6/30/2016,8638.5,285,23.291,1.552,88.409,1.4697,173.14,57.87
7/31/2016,8786.200195,325,23.986,1.562,79.38,1.4531,183.17,54.49
8/31/2016,8611.150391,175,23.364,1.817,77.073,1.58,187.89,56.16
9/30/2016,8638,264,22.391,1.616,82.858,1.5944,187,52.2
10/31/2016,8224.5,140,23.28,1.504,98.062,1.8255,188.86,49.44
11/30/2016,8185.799805,172,22.302,1.633,126.195,2.3809,175.97,54.07
12/31/2016,8561.299805,180,25.313,1.659,125.023,2.4443,176.63,52.94
1/31/2017,8879.599609,259,22.958,1.597,124.474,2.4531,184.36,52.92
2/28/2017,9173.75,200,22.808,1.463,112.786,2.3899,198,49.4
3/31/2017,9304.049805,73,25.734,1.696,112.945,2.3874,210.4,52.33
4/30/2017,9621.25,175,24.775,1.248,101.435,2.2802,216.43,48.44
5/31/2017,9520.900391,155,25.173,1.241,91.701,2.2028,217.23,54.17
6/30/2017,10077.09961,239,24.506,1.336,91.802,2.3037,214.49,51.56
7/31/2017,9917.900391,190,24.406,1.231,93.91,2.2942,231.66,51.56
8/31/2017,9788.599609,221,24.213,1.007,78.747,2.117,231.38,51.56
9/30/2017,10335.29981,14,23.169,1.509,84.489,2.3336,222.78,51.56
10/31/2017,10226.54981,271,23.61,1.585,77.559,2.3793,240.82,53.57
11/30/2017,10530.7002,216,23.141,1.678,62.367,2.4097,239.23,53.57
12/31/2017,11027.7002,175,27.115,1.68,51.843,2.4054,250.15,56.06
1/31/2018,10492.84961,176,23.737,1.347,56.043,2.705,259.07,52.92
2/28/2018,10113.7002,324,23.77,1.507,60.655,2.8606,243.59,58.2
3/31/2018,10739.34961,155,27.51,1.707,46.879,2.7389,232.65,50
4/30/2018,10736.15039,175,25.823,1.11,46.114,2.9531,242.3,61.86
5/31/2018,10714.29981,268,27.749,0.969,42.712,2.8586,232.73,61.86
6/30/2018,11356.5,208,27.781,0.876,32.786,2.8601,227.28,61.86
7/31/2018,11680.5,165,27.486,0.824,28.632,2.9598,240.99,61.86
8/31/2018,10930.4502,286,27.612,0.877,23.139,2.8604,243.6,61.86
9/30/2018,10386.59961,119,25.021,0.814,23.831,3.0612,218.07,61.86
10/31/2018,10876.75,237,25.021,0.834,27.259,3.1435,203.76,61.86
11/30/2018,10862.54981,155,25.021,0.908,19.938,2.9879,221.59,61.86
